"STATISTIC","Statistic Label","TLIST(M1)","Month","C02106V02545","Location","UNIT","VALUE"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2023M08","2023 August","5","Rural areas","%","120.1"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2023M09","2023 September","-","State","%","121.1"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2023M09","2023 September","1","Urban areas","%","121.4"
"EIHC03C01","Consumer Price Index (Base December 2016=100)","2023M09","2023 September","5","Rural areas","%","120.5"
"EIHC03C02","Difference from overall Consumer Price Index since December 2016","2016M12","2016 December","-","State","%","0"
"EIHC03C02","Difference from overall Consumer Price Index since December 2016","2016M12","2016 December","1","Urban areas","%","0"
"EIHC03C02","Difference from overall Consumer Price Index since December 2016","2016M12","2016 December","5","Rural areas","%","0"
"EIHC03C02","Difference from overall Consumer Price Index since December 2016","2017M01","2017 January","-","State","%","0"
"EIHC03C02","Difference from overall Consumer Price Index since December 2016","2017M01","2017 January","1","Urban areas","%","0"
"EIHC03C02","Difference from overall Consumer Price Index since December 2016","2017M01","2017 January","5","Rural areas","%","0.1"
"EIHC03C02","Difference from overall Consumer Price Index since December 2016","2017M02","2017 February","-","State","%","0"
"EIHC03C02","Difference from overall Consumer Price Index since December 2016","2017M02","2017 February","1","Urban areas","%","0"
"EIHC03C02","Difference from overall Consumer Price Index since December 2016","2017M02","2017 February","5","Rural areas","%","0"
"EIHC03C02","Difference from overall Consumer Price Index since December 2016","2017M03","2017 March","-","State","%","0"
"EIHC03C02","Difference from overall Consumer Price Index since December 2016","2017M03","2017 March","1","Urban areas","%","0"
"EIHC03C02","Difference from overall Consumer Price Index since December 2016","2017M03","2017 March","5","Rural areas","%","-0.1"
"EIHC03C02","Difference from overall Consumer Price Index since December 2016","2017M04","2017 April","-","State","%","0"
"EIHC03C02","Difference from overall Consumer Price Index since December 2016","2017M04","2017 April","1","Urban areas","%","0.1"
"EIHC03C02","Difference from overall Consumer Price Index since December 2016","2017M04","2017 April","5","Rural areas","%","-0.2"
"EIHC03C02","Difference from overall Consumer Price Index since December 2016","2017M05","2017 May","-","State","%","0"
"EIHC03C02","Difference from overall Consumer Price Index since December 2016","2017M05","2017 May","1","Urban areas","%","0"
"EIHC03C02","Difference from overall Consumer Price Index since December 2016","2017M05","2017 May","5","Rural areas","%","-0.1"
"EIHC03C02","Difference from overall Consumer Price Index since December 2016","2017M06","2017 June","-","State","%","0"
"EIHC03C02","Difference from overall Consumer Price Index since December 2016","2017M06","2017 June","1","Urban areas","%","0.1"
"EIHC03C02","Difference from overall Consumer Price Index since December 2016","2017M06","2017 June","5","Rural areas","%","-0.3"
