"STATISTIC","Statistic Label","TLIST(A1)","Year","C01779V03424","Commodity Group","UNIT","VALUE"
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1990","1990","07","Transport","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1990","1990","08","Communications","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1990","1990","09","Recreation and culture","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1990","1990","10","Education","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1990","1990","11","Restaurants and hotels","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1990","1990","12","Miscellaneous goods and services","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1991","1991","-","All items","Base Dec 2023=100","49.8"
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1991","1991","01","Food and non-alcoholic beverages","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1991","1991","02","Alcoholic beverages and tobacco","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1991","1991","03","Clothing and footwear","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1991","1991","04","Housing, water, electricity, gas and other fuels","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1991","1991","05","Furnishings, household equipment and routine household maintenance","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1991","1991","06","Health","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1991","1991","07","Transport","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1991","1991","08","Communications","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1991","1991","09","Recreation and culture","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1991","1991","10","Education","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1991","1991","11","Restaurants and hotels","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1991","1991","12","Miscellaneous goods and services","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1992","1992","-","All items","Base Dec 2023=100","51.4"
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1992","1992","01","Food and non-alcoholic beverages","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1992","1992","02","Alcoholic beverages and tobacco","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1992","1992","03","Clothing and footwear","Base Dec 2023=100",""
"CPA01C06","Consumer Price Index (Base Dec 2023=100)","1992","1992","04","Housing, water, electricity, gas and other fuels","Base Dec 2023=100",""
